Id,Text,QuestionId
91,"الجنوب ويعني الإتجاه من الخلف الشمال ويعني الإتجاه من الأمام الغرب ويعني الإتجاه من اليسار الشرق ويعني الإتجاه من اليمين ",28
92,"الشمال ويعني الإتجاه من الأمام ",28
93,"الغرب ويعني الإتجاه من اليسار ",28
94,"الشرق ويعني الإتجاه من اليمين ",28
95,"كان بداخل الحقيبة قلم ويُستخدم للكتابة ",29
96,"كان بداخل الحقيبة ملقط ويُستخدم لتثبيت الغسيل ",29
97,"كان بداخل الحقيبة مفتاح ويُستخدم لفتح الأبواب ",29
98,"أنه يجب مساعدة الأخرين عند طلب الحاجة ",30
99,"أن القطط لا تأكل الشوكلاتة بل تشرب الحليب وتأكل اللحوم والسمك ",30
100,"أنه لا يجب الإكثار من الشوكلاتة لأنها مضرة بالصحة ",30
101,"لم يكن الفأر قادراً على الحراك ",31
102,"كان يشعر بألم شديد في معدته ",31
103,"كان يعاني من حرارة شديدة في كل أنحاء جسده ",31
104,"قامت السلحفاة بوصف دواء للفأر ليواظب عليه ",32
105,"أسرع السنجاب بجلب الدواء للفأر ",32
106,"أعد السنجاب الحساء الساخن للفأر ",32
107,"لأن السنجاب لم يقبل تناول الطعام الذي أعده للفأر ",33
108,"لأن الغراب رأى السنجاب من النافذة وهو يضع شيء في الحساء ",33
109,"يجب الإبتعاد عن ظن السوء في الأخرين ",34
110,"يجب علينا مساعدة الأخرين وقت المرض ",34
111,"يجب علينا أن لا نستبق الأحداث حتى التأكد منها ",34
112,تتناول النملة فطورها,35
113,تستعد النملة للخروج,35
114,تتطمئن على عسلها لتجمع الرحيق,35
115,جمع ثعلوب ألواح الخشب وصنع منها صندوقاً,36
116,صنع ثعلوب صندوقا وضعه على الشجرة,36
117,ثبت الصندوق بالمسامير,36
118,جعل للصندوق باب صغير بمفتاح,36
119,أحد ما دمر منزل أسيل,37
120,أحد ما سرق العسل من البيت,37
121,انسكب العسل على الأرض,37
122,أفسد الشتاء سقف المنزل,38
123,المطر يجعل السقف هشاً جداً,38
124,يوشك السقف على السقوط من شدة المطر,38
125,أراد أن يبعد ماء المطر عن سقف المنزل,39
126,ذهب لشراء سقف مائل,39
127,كان المطر ينهمر بقوة وغزارة,40
128,كان صوت الرعد يقلع القلوب,40
129,خرج الأستاذ ثعلوب ليتجول بالغابة,41
130,"خرج الأستاذ ثعلوب ليتمشى بالغابة ",41
131,"استمتع بنسيم الغابة وأشعة الشمس ",41
132,"أخذ الثعلب صندوق أدواته الخشبي ",42
133,"أخذ الثعلب مفتاح سيارته ",42
134,"أخذ بعض الألواح الزجاجية ",42
135,دفن القرد ميمون الأناناس ليخزنه للشتاء,43
136,"لأن الأناناس ينمو فقط بالصيف وميمون يحبه كثيراً ",43
137,رشحه احد ما لتصوير عيد ميلاد الملك سبع,44
138,"تم اختياره من بين الكثيرين ليكون المصور الرسمي للحفل ",44
139,"كان جامح قد ضغط على زر خواص الكاميرا فتعطلت ",45
140," كانت الصور تظهر باللون الابيض فقط",45
141,"قام ثعلوب بفحص الاعدادات في الكاميرا ",46
142,أعاد ثعلوب ضبط الاعدادات مجددا,46
143,"أصلحها ثعلوب فعادت الكاميرا تصور كالسابق ",46
144,كان نور قلقاً جداً لقطع الاتصال في الغابة بأخته روان,47
145,قام نور بالبحث عن روان في كل مكان ولم يجدها,47
146,حاولت روان إصلاح الجهاز في المنزل لكن لم تنجح,48
147,اتفق نور وروان على الذهاب للاستاذ ثعلوب لمساعدتهم,48
148,"ذهب الاستاذ ثعلوب لورشته الخاصة وتفقد الجهاز ",49
149,اكتشف الاستاذ ثعلوب أن البطاريات تالفة,49
150,حرص ثعلوب على النوم مبكراً لكي لا يتأخر عن موعده,50
151,استيقظ باكراً وأخذ حماما منعشا,50
152,"ارتدى ثيابه وخرج مسرعاً ",50
153,قد رأى الملك سبع أن اعداد الحيوانات ازدادت بالغابة,51
154," ولم يعد قادر على ان يصل لهم جميعا في وقت واحد للاجتماع بهم ",51
155,قام الأستاذ ثعلوب بعد تفكير وجهد بتصميم مكبر صوت للملك,52
156,قدم الأستاذ ثعلوب للملك المكبر ليقوم بالزئير به فتجتمع الحيوانات,52
